material,N_actual,N_label,noise_tier,noise_std,pinn_rpe_mean,pinn_rpe_median,pinn_rpe_std,pinn_outliers,wnlls_rpe_mean,wnlls_rpe_median,wnlls_rpe_std,wnlls_failures,wnlls_outliers,gp_rpe_mean,gp_rpe_median,gp_rpe_std,gp_outliers,pval_wnlls_vs_pinn,excl_wnlls_vs_pinn,pval_gp_vs_pinn,excl_gp_vs_pinn,pval_wnlls_vs_gp,excl_wnlls_vs_gp
Copper,5,5,0,0.0,0.08390997745839668,0.08420383438367521,0.0017261118753010205,0,0.11796729993257568,0.11796729993257565,2.7755575615628914e-17,0,0,0.036651476129240385,0.036651476129240385,0.0,0,1.0,0,9.313225746154785e-10,0,0.9999999783976847,0
Copper,5,5,1,0.0316,2.6665579295394193,2.263158691848942,2.006241309041989,0,3.0039894951392077,2.6633128618374657,2.296181932715424,0,0,2.6361506310925424,2.3465912592485543,1.9380922155785394,0,0.9114036448299885,0,0.21397730335593224,0,0.9429116630926728,0
Copper,5,5,2,0.1,8.99523577320277,6.2963522028622005,7.162661704096193,0,9.427408883646619,9.79355130361799,7.282836485252477,0,0,9.243039748915765,7.126067238792507,7.400389859177706,0,0.7081214636564255,0,0.7287360308691859,0,0.5483867637813091,0
Copper,5,5,3,0.3162,30.46935147340655,24.800184320495884,21.717545699203875,0,28.07115672573788,23.694355835303547,19.80760109065286,0,0,34.98066581129164,35.13733897821264,24.05811306264509,0,0.027460814453661442,0,0.8091007824987173,0,0.013870718888938427,0
Copper,5,5,4,0.5623,145.51045893426968,53.36297241603855,329.40533528825495,3,46.207662516044756,37.16299855518685,32.075452063653266,0,0,268.74792127429197,91.99478807096031,648.6122667053047,3,0.09198454674333334,0,0.8253943100571632,0,0.011049427092075348,0
Copper,6,ALL,0,0.0,0.03925513673548738,0.03900096216640268,0.0020695651690655317,0,0.1303078568551976,0.1303078568551976,0.0,0,0,0.006832540953038404,0.006832540953038406,1.734723475976807e-18,0,0.9999991333466779,0,8.666533220995528e-07,0,0.9999999783976847,0
Copper,6,ALL,1,0.0316,3.0594372626485162,2.796964191197592,2.4866589410510604,0,2.796300567211344,2.516556899350128,2.2375176562834644,0,0,2.9879735263346077,2.9622212476317857,2.1905431209302066,0,0.1310611367225647,0,0.1908992175012827,0,0.30600280687212944,0
Copper,6,ALL,2,0.1,7.483769143749326,6.72879765370277,5.176550141224658,0,8.197147165627934,7.239710788650875,5.68672918527018,0,0,7.079381839861766,7.054009839840306,4.4196149169093255,0,0.6649097055196762,0,0.09903789963573217,0,0.9579672608524561,0
Copper,6,ALL,3,0.3162,26.176755015164535,19.56442146474432,22.03460070378674,0,26.93535542845927,18.768843136104756,22.18881376097822,0,0,24.249598002009247,18.04720383598574,19.024522816256148,0,0.8146296963095665,0,0.08529919758439064,0,0.8200610363855958,0
Copper,6,ALL,4,0.5623,153.84784236938773,91.44716288978918,258.5376520489518,5,44.121509856133606,35.60322457991926,25.56280046691236,2,0,187.28354443956187,60.76128401771805,410.32042336579474,4,0.0011169612407684326,2,0.5,0,0.012374557554721832,2
