material,N_actual,N_label,noise_tier,noise_std,true_mu_wols,true_mu_stderr,nist_mu_mm,mu_discrepancy_pct,pinn_rpe_mean,pinn_rpe_median,pinn_rpe_std,pinn_rpe_ci_lo,pinn_rpe_ci_hi,pinn_outliers,wnlls_rpe_mean,wnlls_rpe_median,wnlls_rpe_std,wnlls_rpe_ci_lo,wnlls_rpe_ci_hi,wnlls_failures,wnlls_outliers,gp_rpe_mean,gp_rpe_median,gp_rpe_std,gp_rpe_ci_lo,gp_rpe_ci_hi,gp_outliers,pval_wnlls_vs_pinn_penalty,pval_gp_vs_pinn_penalty,pval_wnlls_vs_gp_penalty,n_penalty_wnlls_vs_pinn,pval_wnlls_vs_pinn_conditional,pval_gp_vs_pinn_conditional,pval_wnlls_vs_gp_conditional,qval_wnlls_vs_pinn_penalty,qval_gp_vs_pinn_penalty,qval_wnlls_vs_gp_penalty
Copper,5,5,0,0.0,0.04794004064066532,0.00018166316416090697,0.0513408,-6.623892419546785,0.2909658810041888,0.26712399150086164,0.12312606950246871,0.26488854724113986,0.27005355606474485,0,0.012324497134537753,0.012324497134537751,1.734723475976807e-18,0.012324497134537751,0.012324497134537751,0,0,0.16674203990983977,0.16674204977446738,1.199551227703487e-07,0.1667420231465613,0.1667420666522993,0,9.313225746154785e-10,9.313225746154785e-10,8.650185646450623e-07,0,9.313225746154785e-10,9.313225746154785e-10,8.650185646450623e-07,9.313225746154785e-09,1.1641532182693481e-08,4.8147406783308504e-06
Copper,5,5,1,0.0316,0.04794004064066532,0.00018166316416090697,0.0513408,-6.623892419546785,2.3810299783467745,2.0792306302849237,1.425623670277285,1.569986286843815,2.441070707565931,0,2.568120594394877,2.5128881812679196,1.6192002498454485,1.7863579789120174,3.344309901367157,0,0,2.094647263285298,1.7284351453594025,1.6195074532182998,1.3410880698069152,2.3952031841440284,0,0.6649097055196762,0.15919804014265537,0.9775463957339525,0,0.6649097055196762,0.15919804014265537,0.9775463957339525,0.9999991333466779,0.331662583630532,0.9999991517236909
Copper,5,5,2,0.1,0.04794004064066532,0.00018166316416090697,0.0513408,-6.623892419546785,10.603000565486745,9.027681118790671,6.614822260582333,7.926767074212762,12.011327387481316,0,9.976339805637569,8.179306227850343,6.530920202024125,5.855180458696756,13.844795972884388,0,0,9.535242311702582,8.186963646864864,6.703553301244591,6.354405792209533,10.541221682736118,0,0.2385532408952713,0.11032337881624699,0.619467263109982,0,0.2385532408952713,0.11032337881624699,0.619467263109982,0.6277716865665034,0.26267471146725474,0.9999991517236909
Copper,5,5,3,0.3162,0.04794004064066532,0.00018166316416090697,0.0513408,-6.623892419546785,21.626616976713695,16.75060652713634,17.25613221890098,12.259124256434607,20.289760091584245,0,23.47996613885816,19.618322718707404,16.751372740521212,15.468776750373985,25.204229584846825,0,0,22.96050576497693,17.90411220900096,21.551050200115654,7.063190900000303,26.248844281518362,0,0.7919350508600473,0.532300665974617,0.49191679060459137,0,0.7919350508600473,0.532300665974617,0.49191679060459137,0.9999991333466779,0.7604295228208815,0.9999991517236909
Copper,5,5,4,0.5623,0.04794004064066532,0.00018166316416090697,0.0513408,-6.623892419546785,48.344243786654744,43.8355045235045,39.599486684036215,21.600555057743,62.951634737808696,0,49.60467790688401,40.21708962700316,41.83231127424218,15.990453083178252,64.45313032822136,4,0,57.83339891628178,46.317794185246015,46.05371892771312,28.766625028109303,71.14406251252592,0,0.9947008695453405,0.9270002543926239,0.9519492136314511,4,0.950332522392273,0.9270002543926239,0.7258621603250504,0.9999991333466779,1.0,0.9999991517236909
Copper,6,ALL,0,0.0,0.04794004064066532,0.00018166316416090697,0.0513408,-6.623892419546785,0.29339837798203383,0.28543571270720325,0.04858842626082686,0.2822069751043028,0.2881127286017862,0,0.0,0.0,0.0,0.0,0.0,0,0,0.13696195669914993,0.13696192255310147,1.330846272255682e-07,0.1369619147524901,0.13696193845729623,0,8.66653322099553e-07,9.313225746154785e-10,9.313225746154785e-10,0,8.66653322099553e-07,9.313225746154785e-10,9.313225746154785e-10,5.4165832631222064e-06,1.1641532182693481e-08,2.3283064365386963e-08
Copper,6,ALL,1,0.0316,0.04794004064066532,0.00018166316416090697,0.0513408,-6.623892419546785,2.487847269292149,1.8607902514968693,2.130961832011221,1.1309517947680707,3.3880750651083353,0,2.4848677247443236,1.7845925581448552,2.4107546389450354,1.0767179410273764,2.680818322354734,0,0,2.0691762886706826,1.5665591436399051,1.8090043364588997,0.959333903362654,2.481029434797564,0,0.7219433626160026,0.013870718888938427,0.9751449394971132,0,0.7219433626160026,0.013870718888938427,0.9751449394971132,0.9999991333466779,0.0630487222224474,0.9999991517236909
Copper,6,ALL,2,0.1,0.04794004064066532,0.00018166316416090697,0.0513408,-6.623892419546785,7.791964401918469,6.454364350422205,5.074210306830378,5.802192380231528,8.601527833015023,0,6.876574213966592,6.351583115796965,4.621289582841389,4.537246202164234,7.582280449005676,0,0,7.553133936616567,6.6564250879854505,4.529654317298272,5.061339613936421,8.336814549222058,0,0.19652509037405252,0.3277192125096917,0.15919804014265537,0,0.19652509037405252,0.3277192125096917,0.15919804014265537,0.5459030288168126,0.5650331250167099,0.568564429080912
Copper,6,ALL,3,0.3162,0.04794004064066532,0.00018166316416090697,0.0513408,-6.623892419546785,24.93057289297003,21.181179186931363,17.691253224647422,14.243200997555586,34.79642374631803,0,24.441203850195603,22.024190544995307,21.654095202791883,8.196056348459736,25.556252977122824,0,0,25.384115596992654,19.895153245678838,18.49528339870476,14.015677969046084,30.456098871601917,0,0.39607954677194357,0.5564025957137346,0.30600280687212944,0,0.39607954677194357,0.5564025957137346,0.30600280687212944,0.8251657224415492,0.7727813829357426,0.8010317548178136
Copper,6,ALL,4,0.5623,0.04794004064066532,0.00018166316416090697,0.0513408,-6.623892419546785,40.58424827755851,24.333656183731314,32.779676657348915,18.263119186275816,55.6807597914181,0,51.49032799053937,42.65165466702444,38.86674950862792,27.217158131466444,61.09210095678416,1,0,45.33898305482936,32.94416505282901,36.24120005400885,20.845104801317717,54.64214056878677,0,0.9901695922017097,0.6271726628765464,0.9598363190889359,1,0.9827331658452749,0.6271726628765464,0.9342046566307545,0.9999991333466779,0.8030418958514929,0.9999991517236909
