epoch,log_mu,mu,grad_log_mu,data_loss,phys_loss,lambda_phys
500,-2.943892002105713,0.05266037583351135,-1.2116073776269332e-05,0.003093995852395892,0.015676481649279594,1.7333333333333334
525,-2.942829132080078,0.05271637812256813,-9.668073289503809e-06,0.0033075259998440742,0.015532097779214382,1.8150000000000002
550,-2.941955804824829,0.052762433886528015,-8.133903975249268e-06,0.003531007096171379,0.01538805477321148,1.8966666666666667
575,-2.9412002563476562,0.05280231684446335,-7.23595167073654e-06,0.003763933200389147,0.015244131907820702,1.9783333333333335
600,-2.940511703491211,0.05283868685364723,-6.752085027983412e-06,0.004005652852356434,0.015100507996976376,2.06
625,-2.9398560523986816,0.05287334322929382,-6.470515472756233e-06,0.004255345091223717,0.014957550913095474,2.1416666666666666
650,-2.939215898513794,0.052907198667526245,-6.26647715762374e-06,0.004512169398367405,0.014815731905400753,2.2233333333333336
675,-2.9385862350463867,0.05294052138924599,-6.076163572288351e-06,0.004775295965373516,0.014675525948405266,2.3050000000000006
700,-2.9379665851593018,0.05297333747148514,-5.84761028221692e-06,0.005043859593570232,0.014537381939589977,2.386666666666667
725,-2.9373621940612793,0.053005363792181015,-5.5778605201339815e-06,0.005317179020494223,0.01440166775137186,2.4683333333333337
750,-2.9367783069610596,0.053036320954561234,-5.276802312437212e-06,0.00559454970061779,0.014268681406974792,2.5500000000000003
775,-2.9362194538116455,0.05306596681475639,-4.950802122039022e-06,0.005875484086573124,0.014138621278107166,2.6316666666666673
800,-2.9356889724731445,0.05309412628412247,-4.613129931385629e-06,0.006159566342830658,0.014011599123477936,2.713333333333334
825,-2.9351887702941895,0.0531206913292408,-4.297675786801847e-06,0.006446497049182653,0.013887656852602959,2.7950000000000004
850,-2.934717893600464,0.05314571037888527,-4.018168056063587e-06,0.0067360978573560715,0.013766770251095295,2.876666666666667
875,-2.9342732429504395,0.05316934734582901,-3.7756342408101773e-06,0.007028314284980297,0.01364885177463293,2.9583333333333335
900,-2.9338512420654297,0.053191788494586945,-3.586899993024417e-06,0.00732314120978117,0.013533777557313442,3.04
925,-2.9334466457366943,0.05321331322193146,-3.4520649023761507e-06,0.007620591204613447,0.01342140231281519,3.1216666666666666
950,-2.933054208755493,0.053234200924634933,-3.3715664358169306e-06,0.00792074203491211,0.013311543501913548,3.2033333333333336
975,-2.9326672554016113,0.053254805505275726,-3.3201492897205753e-06,0.008223644457757473,0.013204026967287064,3.285
1000,-2.932281970977783,0.05327532812952995,-3.3274820907536196e-06,0.008529448881745338,0.013098654337227345,3.3666666666666667
1025,-2.931894540786743,0.05329596996307373,-3.3978642477450194e-06,0.008838186040520668,0.012995257042348385,3.4483333333333333
1050,-2.9314985275268555,0.053317081183195114,-3.4711110856733285e-06,0.009149953722953796,0.012893661856651306,3.5300000000000002
1075,-2.931091785430908,0.05333876982331276,-3.5688938169187168e-06,0.00946477334946394,0.012793724425137043,3.611666666666667
1100,-2.9306721687316895,0.053361158818006516,-3.6895639823342208e-06,0.009782684966921806,0.01269532646983862,3.6933333333333334
1125,-2.9302380084991455,0.05338433012366295,-3.810191174125066e-06,0.01010366901755333,0.012598362751305103,3.775
1150,-2.929788589477539,0.05340832844376564,-3.941925115213962e-06,0.010427671484649181,0.012502768076956272,3.856666666666667
1175,-2.92932391166687,0.05343315377831459,-4.067668669449631e-06,0.010754631832242012,0.012408487498760223,3.9383333333333335
1200,-2.928844690322876,0.05345876142382622,-4.202251602691831e-06,0.01108442060649395,0.012315496802330017,4.02
1225,-2.9283509254455566,0.053485166281461716,-4.314710622566054e-06,0.011416919529438019,0.012223784811794758,4.101666666666667
1250,-2.927844524383545,0.05351225659251213,-4.4243447518965695e-06,0.011751960963010788,0.012133348733186722,4.183333333333333
1275,-2.9273264408111572,0.05353998765349388,-4.5310507630347274e-06,0.012089378200471401,0.012044194154441357,4.265
1300,-2.9267983436584473,0.0535682737827301,-4.6277355068014e-06,0.012429019436240196,0.011956331320106983,4.346666666666667
